3,1003,HILLARY,C,OGWA,Mainframe and Midrange Administration,Global Technology,null,1001,HILLARY.OGWA@sec.com,null,Associate Mainframe Administrator,null,1,2964514825,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-05-28 01:42:34.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-09-02 16:28:35.0,null,null,2014-07-30 11:28:10.0,null,null,Low,null,null,null,null,null,Active,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Harry,Ogwa,null,null,TECH,null,null,null,null,null,null,null,HOGWA2,HO1003,null,64,PST,null,null,null,null,null,null,null,null,null,null,0,null,HILLARYOGWA,HILLARY.OGWA,HI.OGWA,HILLARY-OGWA,HI.OG,0
279,1592,Luke,null,Kelly,Compensation and Bonuses,Corporate Human Resources,null,1081,Luke.Kelly@sec.com,null,Associate Human Resource Services,null,1,3484745960,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-05-28 01:42:34.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-09-02 16:28:35.0,null,null,2014-07-30 11:28:10.0,null,null,Low,null,null,null,null,null,Active,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Reuben,Powers,null,null,HR,null,null,null,null,null,null,null,LKelly,LK1592,null,64,PST,null,null,null,null,null,null,null,null,null,null,0,null,LukeKelly,Luke.Kelly,Lu.Kelly,Luke-Kelly,Lu.Ke,0
278,1591,Jorge,null,Griffin,Compensation and Bonuses,Corporate Human Resources,null,1081,Jorge.Griffin@sec.com,null,Vice President Associate Payroll Processing Admin,null,1,232712257,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-05-28 01:42:34.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-09-02 16:28:35.0,null,null,2014-07-30 11:28:10.0,null,null,Low,null,null,null,null,null,Active,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Reuben,Powers,null,null,HR,null,null,null,null,null,null,null,JGriffin,JG1591,null,64,PST,null,null,null,null,null,null,null,null,null,null,0,null,JorgeGriffin,Jorge.Griffin,Jo.Griffin,Jorge-Griffin,Jo.Gr,0
281,1594,Shannon,null,Maguire,Compensation and Bonuses,Corporate Human Resources,null,1081,Shannon.Maguire@sec.com,null,Associate Human Resource Services,null,1,1027865297,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-05-28 01:42:34.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-09-02 16:28:35.0,null,null,2014-07-30 11:28:10.0,null,null,Low,null,null,null,null,null,Active,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Reuben,Powers,null,null,HR,null,null,null,null,null,null,null,SMaguire,SM1594,null,64,PST,null,null,null,null,null,null,null,null,null,null,0,null,ShannonMaguire,Shannon.Maguire,Sh.Maguire,Shannon-Maguire,Sh.Ma,0
259,1546,Everett,null,Kearney,Data Services,Global Technology,null,1013,Everett.Kearney@sec.com,null,Associate-Database Administrator,null,1,4303150795,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-05-28 01:42:34.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-09-02 16:28:35.0,null,null,2014-07-30 11:28:10.0,null,null,Low,null,null,null,null,null,Active,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Robert,Wellington,null,null,TECH,null,null,null,null,null,null,null,EKearney,EK1546,null,64,PST,null,null,null,null,null,null,null,null,null,null,0,null,EverettKearney,Everett.Kearney,Ev.Kearney,Everett-Kearney,Ev.Ke,0
18,1019,JOSE,null,mendoza,Data Services,Global Technology,null,1013,JOSE.mendoza@sec.com,null,Associate-Data Services,null,1,3837586950,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-05-28 01:42:34.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-09-02 16:28:35.0,null,null,2014-07-30 11:28:10.0,null,null,Low,null,null,null,null,null,Active,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Robert,Wellington,null,null,TECH,null,null,null,null,null,null,null,Jmendoza,Jm1019,null,64,PST,null,null,null,null,null,null,null,null,null,null,0,null,JOSEmendoza,JOSE.mendoza,JO.mendoza,JOSE-mendoza,JO.me,0
563,2546,Denise,null,Haran,Credit,Global Markets,null,2287,Denise.Haran@sec.com,null,Associate Vice President Credit Market,null,1,2732951183,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-05-28 01:42:34.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-09-02 16:28:35.0,null,null,2014-07-30 11:28:10.0,null,null,Low,null,null,null,null,null,Active,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tadeusz,Coughlan,null,null,GMKT,null,null,null,null,null,null,null,DHaran,DH2546,null,64,PST,null,null,null,null,null,null,null,null,null,null,0,null,DeniseHaran,Denise.Haran,De.Haran,Denise-Haran,De.Ha,0
262,1549,Benny,null,Lowe,Data Services,Global Technology,null,1013,Benny.Lowe@sec.com,null,Associate-Database Administrator,null,1,4370930808,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-05-28 01:42:34.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-09-02 16:28:35.0,null,null,2014-07-30 11:28:10.0,null,null,Low,null,null,null,null,null,Active,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Robert,Wellington,null,null,TECH,null,null,null,null,null,null,null,BLowe,BL1549,null,64,PST,null,null,null,null,null,null,null,null,null,null,0,null,BennyLowe,Benny.Lowe,Be.Lowe,Benny-Lowe,Be.Lo,0
20,1021,LEE,null,perry,Data Services,Global Technology,null,1013,LEE.perry@sec.com,null,Associate-Data Services,null,1,1511140751,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-05-28 01:42:34.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-09-02 16:28:35.0,null,null,2014-07-30 11:28:10.0,null,null,Low,null,null,null,null,null,Active,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Robert,Wellington,null,null,TECH,null,null,null,null,null,null,null,Lperry,Lp1021,null,64,PST,null,null,null,null,null,null,null,null,null,null,0,null,LEEperry,LEE.perry,LE.perry,LEE-perry,LE.pe,0
22,1023,MICHAEL,null,BLACKWATER,Data Services,Global Technology,null,1013,MICHAEL.BLACKWATER@sec.com,null,Associate-Data Services,null,1,3396492191,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-05-28 01:42:34.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2014-09-02 16:28:35.0,null,null,2014-07-30 11:28:10.0,null,null,Low,null,null,null,null,null,Active,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Robert,Wellington,null,null,TECH,null,null,null,null,null,null,null,MBLACKWATER,MB1023,null,64,PST,null,null,null,null,null,null,null,null,null,null,0,null,MICHAELBLACKWATER,MICHAEL.BLACKWATER,MI.BLACKWATER,MICHAEL-BLACKWATER,MI.BL,0
